Case ID,Activity,Resource,Start Timestamp,Complete Timestamp,Variant,Variant index,elementId,fixedCost,processId,resourceCost,resourceId
69,CONFIGURE SEGREGATION SYSTEM,Default Resource-000007,2024-12-03 10:11:34.000,2024-12-03 10:11:35.000,Variant 2,2,sid-8F4C7578-6164-4D7D-908C-ECF975D28B51,1.0,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,0.0,QBP_DEFAULT_RESOURCE
69,CONFIGURE PREPARATION SYSTEM,Default Resource-000008,2024-12-03 10:11:35.000,2024-12-03 10:11:36.000,Variant 2,2,sid-BEE0654E-2332-4091-84F7-4AC8647BFDC1,1.0,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,0.0,QBP_DEFAULT_RESOURCE
69,CONFIGURE INGESTION SYSTEM,Default Resource-000009,2024-12-03 10:11:36.000,2024-12-03 10:11:37.000,Variant 2,2,sid-EA3E4682-F6C1-40E9-ABD2-86D58B43D3DA,1.0,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,0.0,QBP_DEFAULT_RESOURCE
69,END,,2024-12-03 10:11:37.000,2024-12-03 10:11:37.000,Variant 2,2,sid-1FA22A38-811D-41F7-8403-CF8AAFF96E33,,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,,
27,START,,2024-12-03 10:04:30.000,2024-12-03 10:04:30.000,Variant 1,1,sid-928C0280-FDB6-4CD1-A4FF-F4093C4CEF2A,,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,,
27,END,,2024-12-03 10:04:30.000,2024-12-03 10:04:30.000,Variant 1,1,sid-1FA22A38-811D-41F7-8403-CF8AAFF96E33,,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,,
29,START,,2024-12-03 10:04:50.000,2024-12-03 10:04:50.000,Variant 4,4,sid-928C0280-FDB6-4CD1-A4FF-F4093C4CEF2A,,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,,
29,CONFIGURE CLIENT-SIDE SYSTEM,Default Resource-000004,2024-12-03 10:04:50.000,2024-12-03 10:04:51.000,Variant 4,4,sid-7CE7240F-79B7-4EF6-A885-2EDC52CF7F6B,1.0,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,0.0,QBP_DEFAULT_RESOURCE
29,CONFIGURE EVALUATION SYSTEM,Default Resource-000005,2024-12-03 10:04:51.000,2024-12-03 10:04:52.000,Variant 4,4,sid-9CDA04EF-819F-4593-9B2E-8ACE8584CE86,1.0,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,0.0,QBP_DEFAULT_RESOURCE
29,CONFIGURE PRODUCTION SYSTEM,Default Resource-000006,2024-12-03 10:04:52.000,2024-12-03 10:04:53.000,Variant 4,4,sid-341FBA69-1F2E-4532-8D10-4FB8DC4F965D,1.0,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,0.0,QBP_DEFAULT_RESOURCE
29,CONFIGURE DEVELOPMENT SYSTEM,Default Resource-000007,2024-12-03 10:04:53.000,2024-12-03 10:04:54.000,Variant 4,4,sid-2289C30D-0EC7-4B7A-B7FD-E81788B54DAC,1.0,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,0.0,QBP_DEFAULT_RESOURCE
29,CONFIGURE SEGREGATION SYSTEM,Default Resource-000008,2024-12-03 10:04:54.000,2024-12-03 10:04:55.000,Variant 4,4,sid-8F4C7578-6164-4D7D-908C-ECF975D28B51,1.0,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,0.0,QBP_DEFAULT_RESOURCE
29,CONFIGURE PREPARATION SYSTEM,Default Resource-000009,2024-12-03 10:04:55.000,2024-12-03 10:04:56.000,Variant 4,4,sid-BEE0654E-2332-4091-84F7-4AC8647BFDC1,1.0,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,0.0,QBP_DEFAULT_RESOURCE
29,CONFIGURE INGESTION SYSTEM,Default Resource-000010,2024-12-03 10:04:56.000,2024-12-03 10:04:57.000,Variant 4,4,sid-EA3E4682-F6C1-40E9-ABD2-86D58B43D3DA,1.0,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,0.0,QBP_DEFAULT_RESOURCE
29,EVALUATE CLASSIFIER,Default Resource-000001,2024-12-03 10:04:57.000,2024-12-03 10:04:58.000,Variant 4,4,sid-BF16B895-0C1B-42AB-9FA0-08154BC7AB35,1.0,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,0.0,QBP_DEFAULT_RESOURCE
29,END,,2024-12-03 10:04:58.000,2024-12-03 10:04:58.000,Variant 4,4,sid-1FA22A38-811D-41F7-8403-CF8AAFF96E33,,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,,
28,START,,2024-12-03 10:04:40.000,2024-12-03 10:04:40.000,Variant 2,2,sid-928C0280-FDB6-4CD1-A4FF-F4093C4CEF2A,,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,,
28,CONFIGURE CLIENT-SIDE SYSTEM,Default Resource-000007,2024-12-03 10:04:40.000,2024-12-03 10:04:41.000,Variant 2,2,sid-7CE7240F-79B7-4EF6-A885-2EDC52CF7F6B,1.0,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,0.0,QBP_DEFAULT_RESOURCE
28,CONFIGURE EVALUATION SYSTEM,Default Resource-000008,2024-12-03 10:04:41.000,2024-12-03 10:04:42.000,Variant 2,2,sid-9CDA04EF-819F-4593-9B2E-8ACE8584CE86,1.0,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,0.0,QBP_DEFAULT_RESOURCE
28,CONFIGURE PRODUCTION SYSTEM,Default Resource-000009,2024-12-03 10:04:42.000,2024-12-03 10:04:43.000,Variant 2,2,sid-341FBA69-1F2E-4532-8D10-4FB8DC4F965D,1.0,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,0.0,QBP_DEFAULT_RESOURCE
28,CONFIGURE DEVELOPMENT SYSTEM,Default Resource-000010,2024-12-03 10:04:43.000,2024-12-03 10:04:44.000,Variant 2,2,sid-2289C30D-0EC7-4B7A-B7FD-E81788B54DAC,1.0,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,0.0,QBP_DEFAULT_RESOURCE
28,CONFIGURE SEGREGATION SYSTEM,Default Resource-000001,2024-12-03 10:04:44.000,2024-12-03 10:04:45.000,Variant 2,2,sid-8F4C7578-6164-4D7D-908C-ECF975D28B51,1.0,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,0.0,QBP_DEFAULT_RESOURCE
28,CONFIGURE PREPARATION SYSTEM,Default Resource-000002,2024-12-03 10:04:45.000,2024-12-03 10:04:46.000,Variant 2,2,sid-BEE0654E-2332-4091-84F7-4AC8647BFDC1,1.0,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,0.0,QBP_DEFAULT_RESOURCE
28,CONFIGURE INGESTION SYSTEM,Default Resource-000003,2024-12-03 10:04:46.000,2024-12-03 10:04:47.000,Variant 2,2,sid-EA3E4682-F6C1-40E9-ABD2-86D58B43D3DA,1.0,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,0.0,QBP_DEFAULT_RESOURCE
28,END,,2024-12-03 10:04:47.000,2024-12-03 10:04:47.000,Variant 2,2,sid-1FA22A38-811D-41F7-8403-CF8AAFF96E33,,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,,
7,START,,2024-12-03 10:01:10.000,2024-12-03 10:01:10.000,Variant 2,2,sid-928C0280-FDB6-4CD1-A4FF-F4093C4CEF2A,,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,,
7,CONFIGURE CLIENT-SIDE SYSTEM,Default Resource-000010,2024-12-03 10:01:10.000,2024-12-03 10:01:11.000,Variant 2,2,sid-7CE7240F-79B7-4EF6-A885-2EDC52CF7F6B,1.0,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,0.0,QBP_DEFAULT_RESOURCE
7,CONFIGURE EVALUATION SYSTEM,Default Resource-000001,2024-12-03 10:01:11.000,2024-12-03 10:01:12.000,Variant 2,2,sid-9CDA04EF-819F-4593-9B2E-8ACE8584CE86,1.0,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,0.0,QBP_DEFAULT_RESOURCE
7,CONFIGURE PRODUCTION SYSTEM,Default Resource-000002,2024-12-03 10:01:12.000,2024-12-03 10:01:13.000,Variant 2,2,sid-341FBA69-1F2E-4532-8D10-4FB8DC4F965D,1.0,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,0.0,QBP_DEFAULT_RESOURCE
7,CONFIGURE DEVELOPMENT SYSTEM,Default Resource-000003,2024-12-03 10:01:13.000,2024-12-03 10:01:14.000,Variant 2,2,sid-2289C30D-0EC7-4B7A-B7FD-E81788B54DAC,1.0,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,0.0,QBP_DEFAULT_RESOURCE
7,CONFIGURE SEGREGATION SYSTEM,Default Resource-000004,2024-12-03 10:01:14.000,2024-12-03 10:01:15.000,Variant 2,2,sid-8F4C7578-6164-4D7D-908C-ECF975D28B51,1.0,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,0.0,QBP_DEFAULT_RESOURCE
7,CONFIGURE PREPARATION SYSTEM,Default Resource-000005,2024-12-03 10:01:15.000,2024-12-03 10:01:16.000,Variant 2,2,sid-BEE0654E-2332-4091-84F7-4AC8647BFDC1,1.0,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,0.0,QBP_DEFAULT_RESOURCE
7,CONFIGURE INGESTION SYSTEM,Default Resource-000006,2024-12-03 10:01:16.000,2024-12-03 10:01:17.000,Variant 2,2,sid-EA3E4682-F6C1-40E9-ABD2-86D58B43D3DA,1.0,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,0.0,QBP_DEFAULT_RESOURCE
7,END,,2024-12-03 10:01:17.000,2024-12-03 10:01:17.000,Variant 2,2,sid-1FA22A38-811D-41F7-8403-CF8AAFF96E33,,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,,
6,START,,2024-12-03 10:01:00.000,2024-12-03 10:01:00.000,Variant 3,3,sid-928C0280-FDB6-4CD1-A4FF-F4093C4CEF2A,,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,,
6,EVALUATE CLASSIFIER,Default Resource-000003,2024-12-03 10:01:00.000,2024-12-03 10:01:01.000,Variant 3,3,sid-BF16B895-0C1B-42AB-9FA0-08154BC7AB35,1.0,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,0.0,QBP_DEFAULT_RESOURCE
6,END,,2024-12-03 10:01:01.000,2024-12-03 10:01:01.000,Variant 3,3,sid-1FA22A38-811D-41F7-8403-CF8AAFF96E33,,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,,
8,START,,2024-12-03 10:01:20.000,2024-12-03 10:01:20.000,Variant 3,3,sid-928C0280-FDB6-4CD1-A4FF-F4093C4CEF2A,,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,,
8,EVALUATE CLASSIFIER,Default Resource-000007,2024-12-03 10:01:20.000,2024-12-03 10:01:21.000,Variant 3,3,sid-BF16B895-0C1B-42AB-9FA0-08154BC7AB35,1.0,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,0.0,QBP_DEFAULT_RESOURCE
8,END,,2024-12-03 10:01:21.000,2024-12-03 10:01:21.000,Variant 3,3,sid-1FA22A38-811D-41F7-8403-CF8AAFF96E33,,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,,
9,START,,2024-12-03 10:01:30.000,2024-12-03 10:01:30.000,Variant 1,1,sid-928C0280-FDB6-4CD1-A4FF-F4093C4CEF2A,,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,,
9,END,,2024-12-03 10:01:30.000,2024-12-03 10:01:30.000,Variant 1,1,sid-1FA22A38-811D-41F7-8403-CF8AAFF96E33,,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,,
91,START,,2024-12-03 10:15:10.000,2024-12-03 10:15:10.000,Variant 8,8,sid-928C0280-FDB6-4CD1-A4FF-F4093C4CEF2A,,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,,
91,CONFIGURE CLIENT-SIDE SYSTEM,Default Resource-000002,2024-12-03 10:15:10.000,2024-12-03 10:15:11.000,Variant 8,8,sid-7CE7240F-79B7-4EF6-A885-2EDC52CF7F6B,1.0,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,0.0,QBP_DEFAULT_RESOURCE
91,CONFIGURE EVALUATION SYSTEM,Default Resource-000003,2024-12-03 10:15:11.000,2024-12-03 10:15:12.000,Variant 8,8,sid-9CDA04EF-819F-4593-9B2E-8ACE8584CE86,1.0,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,0.0,QBP_DEFAULT_RESOURCE
91,CONFIGURE PRODUCTION SYSTEM,Default Resource-000004,2024-12-03 10:15:12.000,2024-12-03 10:15:13.000,Variant 8,8,sid-341FBA69-1F2E-4532-8D10-4FB8DC4F965D,1.0,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,0.0,QBP_DEFAULT_RESOURCE
91,CONFIGURE DEVELOPMENT SYSTEM,Default Resource-000005,2024-12-03 10:15:13.000,2024-12-03 10:15:14.000,Variant 8,8,sid-2289C30D-0EC7-4B7A-B7FD-E81788B54DAC,1.0,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,0.0,QBP_DEFAULT_RESOURCE
91,CONFIGURE SEGREGATION SYSTEM,Default Resource-000006,2024-12-03 10:15:14.000,2024-12-03 10:15:15.000,Variant 8,8,sid-8F4C7578-6164-4D7D-908C-ECF975D28B51,1.0,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,0.0,QBP_DEFAULT_RESOURCE
91,CONFIGURE PREPARATION SYSTEM,Default Resource-000007,2024-12-03 10:15:15.000,2024-12-03 10:15:16.000,Variant 8,8,sid-BEE0654E-2332-4091-84F7-4AC8647BFDC1,1.0,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,0.0,QBP_DEFAULT_RESOURCE
91,CONFIGURE INGESTION SYSTEM,Default Resource-000008,2024-12-03 10:15:16.000,2024-12-03 10:15:17.000,Variant 8,8,sid-EA3E4682-F6C1-40E9-ABD2-86D58B43D3DA,1.0,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,0.0,QBP_DEFAULT_RESOURCE
91,CHECK DATA BALANCING,Default Resource-000009,2024-12-03 10:15:17.000,2024-12-03 10:15:18.000,Variant 8,8,sid-308416DF-AA11-43EE-B16E-DF606358CB04,1.0,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,0.0,QBP_DEFAULT_RESOURCE
91,CHECK COVERAGE,Default Resource-000010,2024-12-03 10:15:18.000,2024-12-03 10:15:19.000,Variant 8,8,sid-E02895A2-0A14-40F4-AE6F-F61394877DE1,1.0,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,0.0,QBP_DEFAULT_RESOURCE
91,SET # ITERATIONS,Default Resource-000001,2024-12-03 10:15:19.000,2024-12-03 10:15:20.000,Variant 8,8,sid-27C05051-DBFA-4E49-A15A-9D01F134FB56,1.0,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,0.0,QBP_DEFAULT_RESOURCE
91,CHECK LEARNING PLOT,Default Resource-000002,2024-12-03 10:15:20.000,2024-12-03 10:15:21.000,Variant 8,8,sid-47B8CCDD-4D14-4D40-A269-0461E13F5EBD,1.0,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,0.0,QBP_DEFAULT_RESOURCE
91,CHECK VALIDATION RESULTS,Default Resource-000003,2024-12-03 10:15:21.000,2024-12-03 10:15:22.000,Variant 8,8,sid-DD2F8231-BA75-4FB4-B954-27D79C834165,1.0,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,0.0,QBP_DEFAULT_RESOURCE
91,SET # ITERATIONS,Default Resource-000004,2024-12-03 10:15:22.000,2024-12-03 10:15:23.000,Variant 8,8,sid-27C05051-DBFA-4E49-A15A-9D01F134FB56,1.0,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,0.0,QBP_DEFAULT_RESOURCE
91,CHECK LEARNING PLOT,Default Resource-000005,2024-12-03 10:15:23.000,2024-12-03 10:15:24.000,Variant 8,8,sid-47B8CCDD-4D14-4D40-A269-0461E13F5EBD,1.0,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,0.0,QBP_DEFAULT_RESOURCE
91,SET # ITERATIONS,Default Resource-000006,2024-12-03 10:15:24.000,2024-12-03 10:15:25.000,Variant 8,8,sid-27C05051-DBFA-4E49-A15A-9D01F134FB56,1.0,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,0.0,QBP_DEFAULT_RESOURCE
91,CHECK LEARNING PLOT,Default Resource-000007,2024-12-03 10:15:25.000,2024-12-03 10:15:26.000,Variant 8,8,sid-47B8CCDD-4D14-4D40-A269-0461E13F5EBD,1.0,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,0.0,QBP_DEFAULT_RESOURCE
91,CHECK VALIDATION RESULTS,Default Resource-000008,2024-12-03 10:15:26.000,2024-12-03 10:15:27.000,Variant 8,8,sid-DD2F8231-BA75-4FB4-B954-27D79C834165,1.0,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,0.0,QBP_DEFAULT_RESOURCE
91,SET # ITERATIONS,Default Resource-000009,2024-12-03 10:15:27.000,2024-12-03 10:15:28.000,Variant 8,8,sid-27C05051-DBFA-4E49-A15A-9D01F134FB56,1.0,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,0.0,QBP_DEFAULT_RESOURCE
91,CHECK LEARNING PLOT,Default Resource-000010,2024-12-03 10:15:28.000,2024-12-03 10:15:29.000,Variant 8,8,sid-47B8CCDD-4D14-4D40-A269-0461E13F5EBD,1.0,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,0.0,QBP_DEFAULT_RESOURCE
91,SET # ITERATIONS,Default Resource-000001,2024-12-03 10:15:29.000,2024-12-03 10:15:30.000,Variant 8,8,sid-27C05051-DBFA-4E49-A15A-9D01F134FB56,1.0,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,0.0,QBP_DEFAULT_RESOURCE
91,CHECK LEARNING PLOT,Default Resource-000002,2024-12-03 10:15:30.000,2024-12-03 10:15:31.000,Variant 8,8,sid-47B8CCDD-4D14-4D40-A269-0461E13F5EBD,1.0,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,0.0,QBP_DEFAULT_RESOURCE
91,SET # ITERATIONS,Default Resource-000003,2024-12-03 10:15:31.000,2024-12-03 10:15:32.000,Variant 8,8,sid-27C05051-DBFA-4E49-A15A-9D01F134FB56,1.0,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,0.0,QBP_DEFAULT_RESOURCE
91,CHECK LEARNING PLOT,Default Resource-000004,2024-12-03 10:15:32.000,2024-12-03 10:15:33.000,Variant 8,8,sid-47B8CCDD-4D14-4D40-A269-0461E13F5EBD,1.0,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,0.0,QBP_DEFAULT_RESOURCE
91,SET # ITERATIONS,Default Resource-000005,2024-12-03 10:15:33.000,2024-12-03 10:15:34.000,Variant 8,8,sid-27C05051-DBFA-4E49-A15A-9D01F134FB56,1.0,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,0.0,QBP_DEFAULT_RESOURCE
91,CHECK LEARNING PLOT,Default Resource-000006,2024-12-03 10:15:34.000,2024-12-03 10:15:35.000,Variant 8,8,sid-47B8CCDD-4D14-4D40-A269-0461E13F5EBD,1.0,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,0.0,QBP_DEFAULT_RESOURCE
91,CHECK VALIDATION RESULTS,Default Resource-000007,2024-12-03 10:15:35.000,2024-12-03 10:15:36.000,Variant 8,8,sid-DD2F8231-BA75-4FB4-B954-27D79C834165,1.0,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,0.0,QBP_DEFAULT_RESOURCE
91,SET # ITERATIONS,Default Resource-000008,2024-12-03 10:15:36.000,2024-12-03 10:15:37.000,Variant 8,8,sid-27C05051-DBFA-4E49-A15A-9D01F134FB56,1.0,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,0.0,QBP_DEFAULT_RESOURCE
91,CHECK LEARNING PLOT,Default Resource-000009,2024-12-03 10:15:37.000,2024-12-03 10:15:38.000,Variant 8,8,sid-47B8CCDD-4D14-4D40-A269-0461E13F5EBD,1.0,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,0.0,QBP_DEFAULT_RESOURCE
91,CHECK VALIDATION RESULTS,Default Resource-000010,2024-12-03 10:15:38.000,2024-12-03 10:15:39.000,Variant 8,8,sid-DD2F8231-BA75-4FB4-B954-27D79C834165,1.0,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,0.0,QBP_DEFAULT_RESOURCE
91,CHECK TEST RESULTS,Default Resource-000001,2024-12-03 10:15:39.000,2024-12-03 10:15:40.000,Variant 8,8,sid-EF6B5F69-4CE2-48FA-A463-C281F7866079,1.0,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,0.0,QBP_DEFAULT_RESOURCE
91,END,,2024-12-03 10:15:40.000,2024-12-03 10:15:40.000,Variant 8,8,sid-1FA22A38-811D-41F7-8403-CF8AAFF96E33,,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,,
