Case ID,Activity,Resource,Start Timestamp,Complete Timestamp,Variant,Variant index,elementId,fixedCost,processId,resourceCost,resourceId
7,CONFIGURE INGESTION SYSTEM,Default Resource-000006,03/12/2024 10:01,03/12/2024 10:01,Variant 2,2,sid-EA3E4682-F6C1-40E9-ABD2-86D58B43D3DA,10.0,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,0.0,QBP_DEFAULT_RESOURCE
7,END,,03/12/2024 10:01,03/12/2024 10:01,Variant 2,2,sid-1FA22A38-811D-41F7-8403-CF8AAFF96E33,,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,,
8,START,,03/12/2024 10:01,03/12/2024 10:01,Variant 3,3,sid-928C0280-FDB6-4CD1-A4FF-F4093C4CEF2A,,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,,
8,EVALUATE CLASSIFIER,Default Resource-000007,03/12/2024 10:01,03/12/2024 10:01,Variant 3,3,sid-BF16B895-0C1B-42AB-9FA0-08154BC7AB35,10.0,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,0.0,QBP_DEFAULT_RESOURCE
8,END,,03/12/2024 10:01,03/12/2024 10:01,Variant 3,3,sid-1FA22A38-811D-41F7-8403-CF8AAFF96E33,,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,,
9,START,,03/12/2024 10:01,03/12/2024 10:01,Variant 1,1,sid-928C0280-FDB6-4CD1-A4FF-F4093C4CEF2A,,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,,
9,END,,03/12/2024 10:01,03/12/2024 10:01,Variant 1,1,sid-1FA22A38-811D-41F7-8403-CF8AAFF96E33,,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,,
10,START,,03/12/2024 10:01,03/12/2024 10:01,Variant 1,1,sid-928C0280-FDB6-4CD1-A4FF-F4093C4CEF2A,,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,,
10,END,,03/12/2024 10:01,03/12/2024 10:01,Variant 1,1,sid-1FA22A38-811D-41F7-8403-CF8AAFF96E33,,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,,
11,START,,03/12/2024 10:01,03/12/2024 10:01,Variant 2,2,sid-928C0280-FDB6-4CD1-A4FF-F4093C4CEF2A,,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,,
11,CONFIGURE CLIENT-SIDE SYSTEM,Default Resource-000008,03/12/2024 10:01,03/12/2024 10:01,Variant 2,2,sid-7CE7240F-79B7-4EF6-A885-2EDC52CF7F6B,10.0,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,0.0,QBP_DEFAULT_RESOURCE
